epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,395.709,1.22239,3.22937,1.15994,0.00331,0.99225,0.73506,0.40713,1.02925,3.76379,0.96726,0.00056,0.00056,0.00056
2,749.49,1.19151,2.18407,1.10186,0.88172,0.28897,0.70738,0.45123,1.11845,3.15167,1.05819,0.00102714,0.00102714,0.00102714
3,1115.81,1.15576,1.82625,1.11951,0.75147,0.77351,0.83546,0.55739,1.12518,2.32088,1.08343,0.00137944,0.00137944,0.00137944
4,1483.77,1.15027,1.60194,1.09076,0.92334,0.93373,0.95253,0.53579,1.40065,1.73034,1.22738,0.001406,0.001406,0.001406
5,1847.89,1.09058,1.36448,1.06488,0.9052,0.96223,0.97958,0.59464,1.32894,1.48366,1.13474,0.001208,0.001208,0.001208
6,2205.48,1.07077,1.24094,1.05076,0.94077,0.89922,0.97246,0.61961,1.10718,1.32168,1.0692,0.00101,0.00101,0.00101
7,2568.11,0.99161,1.10818,1.01597,0.95507,0.93023,0.98072,0.59575,1.24376,1.10058,1.06399,0.000812,0.000812,0.000812
8,2927.02,0.94857,0.98276,0.98917,0.96767,0.96899,0.98756,0.68309,1.07439,0.91478,0.99939,0.000614,0.000614,0.000614
9,3278.69,0.86845,0.90668,0.95184,0.98138,0.97674,0.98762,0.66991,1.03908,0.93433,0.99623,0.000416,0.000416,0.000416
10,3627.79,0.86242,0.87303,0.95918,0.98448,0.98337,0.98808,0.69194,0.96638,0.85576,0.95504,0.000218,0.000218,0.000218
